Ecosystem	Package	Version	Scope	License	License files	Source
go	cel.dev/expr	v0.25.1	module	Apache-2.0	LICENSE	https://cel.dev/expr
go	cloud.google.com/go/compute/metadata	v0.9.0	module	Apache-2.0	LICENSE	https://cloud.google.com/go/compute/metadata
go	github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp	v1.32.0	module	Apache-2.0	LICENSE	https://github.com/GoogleCloudPlatform/opentelemetry-operations-go/detectors/gcp
go	github.com/cespare/xxhash/v2	v2.3.0	module	MIT	LICENSE.txt	https://github.com/cespare/xxhash/v2
go	github.com/cncf/xds/go	v0.0.0-20260202195803-dba9d589def2	module	Apache-2.0	LICENSE	https://github.com/cncf/xds/go
go	github.com/envoyproxy/go-control-plane	v0.14.0	module	Apache-2.0	LICENSE	https://github.com/envoyproxy/go-control-plane
go	github.com/envoyproxy/go-control-plane/envoy	v1.37.0	module	Apache-2.0	LICENSE	https://github.com/envoyproxy/go-control-plane/envoy
go	github.com/envoyproxy/go-control-plane/ratelimit	v0.1.0	module	Apache-2.0	LICENSE	https://github.com/envoyproxy/go-control-plane/ratelimit
go	github.com/envoyproxy/protoc-gen-validate	v1.3.3	module	Apache-2.0	LICENSE	https://github.com/envoyproxy/protoc-gen-validate
go	github.com/go-jose/go-jose/v4	v4.1.4	module	Apache-2.0	LICENSE	https://github.com/go-jose/go-jose/v4
go	github.com/go-logr/logr	v1.4.3	module	Apache-2.0	LICENSE	https://github.com/go-logr/logr
go	github.com/go-logr/stdr	v1.2.2	module	Apache-2.0	LICENSE	https://github.com/go-logr/stdr
go	github.com/golang/glog	v1.2.5	module	Apache-2.0	LICENSE	https://github.com/golang/glog
go	github.com/golang/protobuf	v1.5.4	module	BSD-3-Clause	LICENSE	https://github.com/golang/protobuf
go	github.com/google/go-cmp	v0.7.0	module	BSD-3-Clause	LICENSE	https://github.com/google/go-cmp
go	github.com/google/uuid	v1.6.0	module	BSD-3-Clause	LICENSE	https://github.com/google/uuid
go	github.com/planetscale/vtprotobuf	v0.6.1-0.20240319094008-0393e58bdf10	module	BSD-3-Clause	LICENSE	https://github.com/planetscale/vtprotobuf
go	github.com/spiffe/go-spiffe/v2	v2.6.0	module	Apache-2.0	LICENSE	https://github.com/spiffe/go-spiffe/v2
go	go.opentelemetry.io/auto/sdk	v1.2.1	module	Apache-2.0	LICENSE	https://go.opentelemetry.io/auto/sdk
go	go.opentelemetry.io/contrib/detectors/gcp	v1.43.0	module	Apache-2.0	LICENSE	https://go.opentelemetry.io/contrib/detectors/gcp
go	go.opentelemetry.io/otel	v1.43.0	module	Apache-2.0	LICENSE	https://go.opentelemetry.io/otel
go	go.opentelemetry.io/otel/metric	v1.43.0	module	Apache-2.0	LICENSE	https://go.opentelemetry.io/otel/metric
go	go.opentelemetry.io/otel/sdk	v1.43.0	module	Apache-2.0	LICENSE	https://go.opentelemetry.io/otel/sdk
go	go.opentelemetry.io/otel/sdk/metric	v1.43.0	module	Apache-2.0	LICENSE	https://go.opentelemetry.io/otel/sdk/metric
go	go.opentelemetry.io/otel/trace	v1.43.0	module	Apache-2.0	LICENSE	https://go.opentelemetry.io/otel/trace
go	golang.org/x/crypto	v0.50.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/crypto
go	golang.org/x/mod	v0.34.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/mod
go	golang.org/x/net	v0.53.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/net
go	golang.org/x/oauth2	v0.36.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/oauth2
go	golang.org/x/sync	v0.20.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/sync
go	golang.org/x/sys	v0.43.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/sys
go	golang.org/x/term	v0.42.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/term
go	golang.org/x/text	v0.36.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/text
go	golang.org/x/tools	v0.43.0	module	BSD-3-Clause	LICENSE	https://golang.org/x/tools
go	gonum.org/v1/gonum	v0.17.0	module	BSD-3-Clause	LICENSE	https://gonum.org/v1/gonum
go	google.golang.org/genproto/googleapis/api	v0.0.0-20260414002931-afd174a4e478	module	Apache-2.0	LICENSE	https://google.golang.org/genproto/googleapis/api
go	google.golang.org/genproto/googleapis/rpc	v0.0.0-20260414002931-afd174a4e478	module	Apache-2.0	LICENSE	https://google.golang.org/genproto/googleapis/rpc
go	google.golang.org/grpc	v1.82.0	module	Apache-2.0	LICENSE	https://google.golang.org/grpc
go	google.golang.org/protobuf	v1.36.11	module	BSD-3-Clause	LICENSE	https://google.golang.org/protobuf
